,Atlas,Representation,Accuracy,acc_std,F1,f1_std,Precision,prec_std,Recall,rec_stds
331,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
332,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
333,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
334,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
335,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
336,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
337,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
338,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
339,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
340,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
341,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
342,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
343,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
344,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
345,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
346,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
347,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
348,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
349,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
350,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
351,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
352,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
353,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
354,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
355,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
356,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
357,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
358,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
359,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
360,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
361,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
362,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
363,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
364,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
365,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
366,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
367,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
368,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
369,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
370,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
371,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
372,AAL,sFC,76.5,18.309833423600555,0.7823809523809524,0.16771168976655665,0.8416666666666666,0.2056493779875511,0.7833333333333333,0.2242270674512285
373,AAL,ising,61.0,16.852299546352718,0.6723809523809524,0.17073669906661326,0.625,0.15478479684172258,0.7666666666666666,0.24944382578492946
